Np,loglik,loglik.se,time
5000,-2138.0366230610753,46.177027825663345,0.41811666666666664
10000,-2010.2005811719393,55.492717252901116,0.8395833333333333
50000,-1863.587103047536,25.110889642633897,4.552766666666667
100000,-1809.7830099343316,21.277910287987456,9.204
250000,-1778.8087341722055,3.3948406580920727,22.63103333333333
500000,-1767.621983287295,1.7051454970586357,44.80485000000001
1000000,-1688.4314797572779,30.390808050861956,90.03001666666668
2000000,-1731.4462831446128,9.36349479069221,178.87018333333333
5000000,NA,NA,2.0320166666667014
