zeta,P_0,tau,alpha
1.1791485681774319,2.3923076923076927,0.16478796018663766,0.18086405197191188
1.1089380783502252,2.7743589743589743,0.1555531690816893,0.1831000041953909
1.1794871794871795,2.521003445804319,0.1542868524694484,0.20137093053575672
1.128388482990488,2.3923076923076927,0.15408672634096882,0.19836097386516882
1.2027775323052545,2.3923076923076927,0.16302187437408514,0.19998195511592667
1.2259827058065802,2.3923076923076927,0.15307086611995985,0.19865777737550191
1.0885062567698125,3.1564102564102563,0.1408250479748588,0.18689027797732702
1.195766959628,2.3923076923076927,0.14797102146195024,0.20324918784432253
1.12647936777364,2.3923076923076927,0.15077577084856933,0.17505746981324824
1.1384615384615384,3.0206696688898136,0.15237859510755994,0.1994445328833015
