name,mle,ll,ul,method
P_0,1.9244897959183689,0.7081632653061212,5.624043168214733,Surface
alpha,0.16372327233080097,0.10204081632653168,0.28571428571428736,Surface
phi,0.14570189381928947,0.10999999999999953,0.21000000000000033,Surface
zeta,1.3036380051512255,0.6020408163265298,2.7163265306122377,Surface
Re_0,5.638234372279051,2.6038265306122415,11.748112244897928,Surface
zeta,1.0148148148148168,0.5148148148148141,1.6518518518518575,MCAP
P_0,2.8592592592593027,0.6816816816816899,5.812412412412504,MCAP
alpha,0.1753283896141045,0.11236746951032694,0.29185307756736434,MCAP
phi,0.14684684684684715,0.10168168168168173,0.2112312312312319,MCAP
Re_0,4.389074074074083,2.2265740740740707,7.144259259259283,MCAP
zeta,1.2816326530612236,0.6020408163265298,2.7163265306122377,Profile
P_0,1.9244897959183689,0.7081632653061212,5.573469387755137,Profile
alpha,0.15306122448979576,0.10204081632653168,0.28571428571428736,Profile
phi,0.1499999999999999,0.10999999999999953,0.21000000000000033,Profile
Re_0,5.543061224489792,2.6038265306122415,11.748112244897928,Profile
